;ordernumber;series_name;model_name;product_line;shutter;monocolor;sensor_optical_size;resolution_horizontal;resolution_vertical;pixel_size_horizontal;pixel_size_vertical;sensor_name;housing_name;interface;sensor_framerate_min;sensor_framerate_max;mount;price
127;106692;Basler dart;daA2500-14um (No-Mount);;Rolling;Mono;"1/2.5""";2592;1944;2,2;2,2;MT9P031;Board Level;USB 3.0;14;14;No-Mount;169
128;106693;Basler dart;daA2500-14um (CS-Mount);;Rolling;Mono;"1/2.5""";2592;1944;2,2;2,2;MT9P031;Board Level;USB 3.0;14;14;CS-Mount;179
129;106694;Basler dart;daA2500-14um (S-Mount);;Rolling;Mono;"1/2.5""";2592;1944;2,2;2,2;MT9P031;Board Level;USB 3.0;14;14;S-Mount;179
130;106695;Basler dart;daA2500-14uc (No-Mount);;Rolling;Color;"1/2.5""";2592;1944;2,2;2,2;MT9P031;Board Level;USB 3.0;14;14;No-Mount;179
131;106696;Basler dart;daA2500-14uc (CS-Mount);;Rolling;Color;"1/2.5""";2592;1944;2,2;2,2;MT9P031;Board Level;USB 3.0;14;14;CS-Mount;189
132;106697;Basler dart;daA2500-14uc (S-Mount);;Rolling;Color;"1/2.5""";2592;1944;2,2;2,2;MT9P031;Board Level;USB 3.0;14;14;S-Mount;189
133;106957;Basler pulse;puA2500-14um;;Rolling;Mono;"1/2.5""";2592;1944;2,2;2,2;MT9P031;Box;USB 3.0;14;14;C-Mount;199
134;106958;Basler pulse;puA2500-14uc;;Rolling;Color;"1/2.5""";2592;1944;2,2;2,2;MT9P031;Box;USB 3.0;14;14;C-Mount;209
135;106458;Basler ace;acA2500-14um (CS-Mount);ace Classic;Rolling;Mono;"1/2.5""";2592;1944;2,2;2,2;MT9P031;Box;USB 3.0;14;14;CS-Mount;399
136;106459;Basler ace;acA2500-14uc (CS-Mount);ace Classic;Rolling;Color;"1/2.5""";2592;1944;2,2;2,2;MT9P031;Box;USB 3.0;14;14;CS-Mount;419
137;106215;Basler ace;acA2500-14um;ace Classic;Rolling;Mono;"1/2.5""";2592;1944;2,2;2,2;MT9P031;Box;USB 3.0;14;14;C-Mount;399
138;106216;Basler ace;acA2500-14uc;ace Classic;Rolling;Color;"1/2.5""";2592;1944;2,2;2,2;MT9P031;Box;USB 3.0;14;14;C-Mount;419
139;106732;Basler dart;daA1920-15um (No-Mount);;Rolling;Mono;"1/3.7""";1920;1080;2,2;2,2;MT9P031;Board Level;USB 3.0;15;15;No-Mount;129
140;107406;Basler ace;acA3088-16gm;ace U;Rolling;Mono;"1/1.8""";3088;2064;2,4;2,4;IMX178;Box;GigE;16;16;C-Mount;409
141;107407;Basler ace;acA3088-16gc;ace U;Rolling;Color;"1/1.8""";3088;2064;2,4;2,4;IMX178;Box;GigE;16;16;C-Mount;429
142;108131;Basler ace 2;a2A2590-22gmPRO;ace 2 R Pro;Rolling;Mono;"1/2.8""";2592;1944;2,0;2,0;IMX334ROI;Box;GigE;22;22;C-Mount;389
143;108132;Basler ace 2;a2A2590-22gcPRO;ace 2 R Pro;Rolling;Color;"1/2.8""";2592;1944;2,0;2,0;IMX334ROI;Box;GigE;22;22;C-Mount;409
144;108030;Basler ace 2;a2A2590-22gmBAS;ace 2 R Basic;Rolling;Mono;"1/2.8""";2592;1944;2,0;2,0;IMX334ROI;Box;GigE;22;22;C-Mount;279
145;108031;Basler ace 2;a2A2590-22gcBAS;ace 2 R Basic;Rolling;Color;"1/2.8""";2592;1944;2,0;2,0;IMX334ROI;Box;GigE;22;22;C-Mount;299
146;106800;Basler ace;acA1920-25gc (CS-Mount);ace Classic;Rolling;Color;"1/3.7""";1920;1080;2,2;2,2;MT9P031;Box;GigE;25;25;CS-Mount;269
147;106493;Basler ace;acA1920-25gm;ace Classic;Rolling;Mono;"1/3.7""";1920;1080;2,2;2,2;MT9P031;Box;GigE;25;25;C-Mount;249
148;106494;Basler ace;acA1920-25gc;ace Classic;Rolling;Color;"1/3.7""";1920;1080;2,2;2,2;MT9P031;Box;GigE;25;25;C-Mount;269
149;106228;Basler ace;acA1920-25um;ace Classic;Rolling;Mono;"1/3.7""";1920;1080;2,2;2,2;MT9P031;Box;USB 3.0;26;26;C-Mount;249
150;106229;Basler ace;acA1920-25uc;ace Classic;Rolling;Color;"1/3.7""";1920;1080;2,2;2,2;MT9P031;Box;USB 3.0;26;26;C-Mount;269
151;108218;Basler dart;daA3840-30mc (No-Mount);;Rolling;Color;"1/1.8""";3840;2160;2,1;2,1;AR0821;Board Level;BCON for MIPI;30;30;No-Mount;105
