;Unnamed: 0_cam;ordernumber_cam;series_name;model_name_cam;product_line;shutter;monocolor;sensor_optical_size;resolution_horizontal;resolution_vertical;pixel_size_horizontal;pixel_size_vertical;sensor_name;housing_name;interface;sensor_framerate_min;sensor_framerate_max;mount_cam;price_cam;Unnamed: 0_lens;ordernumber_lens;model_name_lens;focal_length;mount_lens;sensor_format;min_object_distance;price_lens;total_price;max_fov_h;max_fov_v;resolution_mm;fps_score;d_score;res_score;price_score;best_d;best_res;best_fps;score
381;2;108723;Basler dart;daA720-520um (S-Mount);;Global;Mono;"1/2.9""";720;540;6,9;6,9;IMX287;Board Level;USB 3.0;523;523;S-Mount;209;74;2000036382,0;"Evetar Lens M118B029528IR F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;51,0;260,0;2484,0;1863,0;3,45;4,0;3,0;3,0;3,0;780,0;1,794;604,524;34,0
535;3;108724;Basler dart;daA720-520um (CS-Mount);;Global;Mono;"1/2.9""";720;540;6,9;6,9;IMX287;Board Level;USB 3.0;523;523;CS-Mount;209;74;2000036382,0;"Evetar Lens M118B029528IR F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;51,0;260,0;2484,0;1863,0;3,45;4,0;3,0;3,0;3,0;780,0;1,794;604,524;34,0
843;5;108726;Basler dart;daA720-520uc (S-Mount);;Global;Color;"1/2.9""";720;540;6,9;6,9;IMX287;Board Level;USB 3.0;523;523;S-Mount;209;74;2000036382,0;"Evetar Lens M118B029528IR F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;51,0;260,0;2484,0;1863,0;3,45;4,0;3,0;3,0;3,0;780,0;1,794;604,524;34,0
997;6;108727;Basler dart;daA720-520uc (CS-Mount);;Global;Color;"1/2.9""";720;540;6,9;6,9;IMX287;Board Level;USB 3.0;523;523;CS-Mount;209;74;2000036382,0;"Evetar Lens M118B029528IR F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;51,0;260,0;2484,0;1863,0;3,45;4,0;3,0;3,0;3,0;780,0;1,794;604,524;34,0
382;2;108723;Basler dart;daA720-520um (S-Mount);;Global;Mono;"1/2.9""";720;540;6,9;6,9;IMX287;Board Level;USB 3.0;523;523;S-Mount;209;75;2000036383,0;"Evetar Lens M118B029528W F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;53,0;262,0;2484,0;1863,0;3,45;4,0;3,0;3,0;3,0;780,0;1,794;604,524;34,0
536;3;108724;Basler dart;daA720-520um (CS-Mount);;Global;Mono;"1/2.9""";720;540;6,9;6,9;IMX287;Board Level;USB 3.0;523;523;CS-Mount;209;75;2000036383,0;"Evetar Lens M118B029528W F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;53,0;262,0;2484,0;1863,0;3,45;4,0;3,0;3,0;3,0;780,0;1,794;604,524;34,0
844;5;108726;Basler dart;daA720-520uc (S-Mount);;Global;Color;"1/2.9""";720;540;6,9;6,9;IMX287;Board Level;USB 3.0;523;523;S-Mount;209;75;2000036383,0;"Evetar Lens M118B029528W F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;53,0;262,0;2484,0;1863,0;3,45;4,0;3,0;3,0;3,0;780,0;1,794;604,524;34,0
998;6;108727;Basler dart;daA720-520uc (CS-Mount);;Global;Color;"1/2.9""";720;540;6,9;6,9;IMX287;Board Level;USB 3.0;523;523;CS-Mount;209;75;2000036383,0;"Evetar Lens M118B029528W F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;53,0;262,0;2484,0;1863,0;3,45;4,0;3,0;3,0;3,0;780,0;1,794;604,524;34,0
8389;54;107961;Basler ace 2;a2A1920-160umPRO;ace 2 R Pro;Global;Mono;"1/2.3""";1920;1200;3,45;3,45;IMX392;Box;USB 3.0;160;160;C-Mount;449;74;2000036382,0;"Evetar Lens M118B029528IR F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;51,0;500,0;3312,0;2070,0;1,725;2,0;4,0;4,0;1,0;600,0;0,69;167,4203;33,0
8390;54;107961;Basler ace 2;a2A1920-160umPRO;ace 2 R Pro;Global;Mono;"1/2.3""";1920;1200;3,45;3,45;IMX392;Box;USB 3.0;160;160;C-Mount;449;75;2000036383,0;"Evetar Lens M118B029528W F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;53,0;502,0;3312,0;2070,0;1,725;2,0;4,0;4,0;1,0;600,0;0,69;167,4203;33,0
8085;52;107820;Basler ace 2;a2A1920-160umBAS;ace 2 R Basic;Global;Mono;"1/2.3""";1920;1200;3,45;3,45;IMX392;Box;USB 3.0;160;160;C-Mount;339;78;2000036384,0;"Evetar Lens M118B0418IR F1.8 f4mm 1/1.8""";4,0;S-mount;"1/1,8""";200,0;32,0;371,0;2484,0;1552,5;1,2938;2,0;3,0;4,0;2,0;780,0;0,6727;164,3285;33,0
8086;52;107820;Basler ace 2;a2A1920-160umBAS;ace 2 R Basic;Global;Mono;"1/2.3""";1920;1200;3,45;3,45;IMX392;Box;USB 3.0;160;160;C-Mount;339;79;2000036385,0;"Evetar Lens M118B0418W F1.8 f4mm 1/1.8""";4,0;S-mount;"1/1,8""";200,0;33,0;372,0;2484,0;1552,5;1,2938;2,0;3,0;4,0;2,0;780,0;0,6727;164,3285;33,0
8087;52;107820;Basler ace 2;a2A1920-160umBAS;ace 2 R Basic;Global;Mono;"1/2.3""";1920;1200;3,45;3,45;IMX392;Box;USB 3.0;160;160;C-Mount;339;80;2200001058,0;"Evetar Lens E3360A F2.0 f4.0mm 1/1.8""";4,0;S-mount;"1/1,8""";300,0;33,0;372,0;2484,0;1552,5;1,2938;2,0;3,0;4,0;2,0;780,0;0,6727;164,3285;33,0
8088;52;107820;Basler ace 2;a2A1920-160umBAS;ace 2 R Basic;Global;Mono;"1/2.3""";1920;1200;3,45;3,45;IMX392;Box;USB 3.0;160;160;C-Mount;339;81;2200000589,0;"Evetar Lens E3360D IR-Cut F2.0 f4mm 1/1.8""";4,0;S-mount;"1/1,8""";300,0;33,0;372,0;2484,0;1552,5;1,2938;2,0;3,0;4,0;2,0;780,0;0,6727;164,3285;33,0
8239;53;107821;Basler ace 2;a2A1920-160ucBAS;ace 2 R Basic;Global;Color;"1/2.3""";1920;1200;3,45;3,45;IMX392;Box;USB 3.0;160;160;C-Mount;359;78;2000036384,0;"Evetar Lens M118B0418IR F1.8 f4mm 1/1.8""";4,0;S-mount;"1/1,8""";200,0;32,0;391,0;2484,0;1552,5;1,2938;2,0;3,0;4,0;2,0;780,0;0,6727;164,3285;33,0
8240;53;107821;Basler ace 2;a2A1920-160ucBAS;ace 2 R Basic;Global;Color;"1/2.3""";1920;1200;3,45;3,45;IMX392;Box;USB 3.0;160;160;C-Mount;359;79;2000036385,0;"Evetar Lens M118B0418W F1.8 f4mm 1/1.8""";4,0;S-mount;"1/1,8""";200,0;33,0;392,0;2484,0;1552,5;1,2938;2,0;3,0;4,0;2,0;780,0;0,6727;164,3285;33,0
8241;53;107821;Basler ace 2;a2A1920-160ucBAS;ace 2 R Basic;Global;Color;"1/2.3""";1920;1200;3,45;3,45;IMX392;Box;USB 3.0;160;160;C-Mount;359;80;2200001058,0;"Evetar Lens E3360A F2.0 f4.0mm 1/1.8""";4,0;S-mount;"1/1,8""";300,0;33,0;392,0;2484,0;1552,5;1,2938;2,0;3,0;4,0;2,0;780,0;0,6727;164,3285;33,0
8242;53;107821;Basler ace 2;a2A1920-160ucBAS;ace 2 R Basic;Global;Color;"1/2.3""";1920;1200;3,45;3,45;IMX392;Box;USB 3.0;160;160;C-Mount;359;81;2200000589,0;"Evetar Lens E3360D IR-Cut F2.0 f4mm 1/1.8""";4,0;S-mount;"1/1,8""";300,0;33,0;392,0;2484,0;1552,5;1,2938;2,0;3,0;4,0;2,0;780,0;0,6727;164,3285;33,0
6845;44;109474;Basler ace 2;a2A2048-114umBAS​;ace 2 R Basic;Global;Mono;1/3.1'';2048;1536;2,25;2,25;IMX900;Box;USB 3.0;114;114;C-Mount;349;70;2200001056,0;"Evetar Lens E3417A F2.4 f2.5mm 1/1.8""";2,5;S-mount;"1/1,8""";300,0;33,0;382,0;2764,8;2073,6;1,35;1,0;3,0;4,0;2,0;790,0;0,711;140,0629;32,0
6846;44;109474;Basler ace 2;a2A2048-114umBAS​;ace 2 R Basic;Global;Mono;1/3.1'';2048;1536;2,25;2,25;IMX900;Box;USB 3.0;114;114;C-Mount;349;71;2200001057,0;"Evetar Lens E3417C IR-Cut F2.4 f2.5mm 1/1.8""";2,5;S-mount;"1/1,8""";300,0;33,0;382,0;2764,8;2073,6;1,35;1,0;3,0;4,0;2,0;790,0;0,711;140,0629;32,0
6999;45;109475;Basler ace 2;a2A2048-114ucBAS​;ace 2 R Basic;Global;Color;1/3.1'';2048;1536;2,25;2,25;IMX900;Box;USB 3.0;114;114;C-Mount;369;70;2200001056,0;"Evetar Lens E3417A F2.4 f2.5mm 1/1.8""";2,5;S-mount;"1/1,8""";300,0;33,0;402,0;2764,8;2073,6;1,35;1,0;3,0;4,0;2,0;790,0;0,711;140,0629;32,0
7000;45;109475;Basler ace 2;a2A2048-114ucBAS​;ace 2 R Basic;Global;Color;1/3.1'';2048;1536;2,25;2,25;IMX900;Box;USB 3.0;114;114;C-Mount;369;71;2200001057,0;"Evetar Lens E3417C IR-Cut F2.4 f2.5mm 1/1.8""";2,5;S-mount;"1/1,8""";300,0;33,0;402,0;2764,8;2073,6;1,35;1,0;3,0;4,0;2,0;790,0;0,711;140,0629;32,0
2841;18;107652;Basler ace;acA1440-220um;ace U;Global;Mono;"1/2.9""";1440;1080;3,45;3,45;IMX273;Box;USB 3.0;227;227;C-Mount;399;70;2200001056,0;"Evetar Lens E3417A F2.4 f2.5mm 1/1.8""";2,5;S-mount;"1/1,8""";300,0;33,0;432,0;2980,8;2235,6;2,07;4,0;3,0;4,0;1,0;650,0;0,897;262,3842;32,0
2842;18;107652;Basler ace;acA1440-220um;ace U;Global;Mono;"1/2.9""";1440;1080;3,45;3,45;IMX273;Box;USB 3.0;227;227;C-Mount;399;71;2200001057,0;"Evetar Lens E3417C IR-Cut F2.4 f2.5mm 1/1.8""";2,5;S-mount;"1/1,8""";300,0;33,0;432,0;2980,8;2235,6;2,07;4,0;3,0;4,0;1,0;650,0;0,897;262,3842;32,0
2995;19;107653;Basler ace;acA1440-220uc;ace U;Global;Color;"1/2.9""";1440;1080;3,45;3,45;IMX273;Box;USB 3.0;227;227;C-Mount;419;70;2200001056,0;"Evetar Lens E3417A F2.4 f2.5mm 1/1.8""";2,5;S-mount;"1/1,8""";300,0;33,0;452,0;2980,8;2235,6;2,07;4,0;3,0;4,0;1,0;650,0;0,897;262,3842;32,0
2996;19;107653;Basler ace;acA1440-220uc;ace U;Global;Color;"1/2.9""";1440;1080;3,45;3,45;IMX273;Box;USB 3.0;227;227;C-Mount;419;71;2200001057,0;"Evetar Lens E3417C IR-Cut F2.4 f2.5mm 1/1.8""";2,5;S-mount;"1/1,8""";300,0;33,0;452,0;2980,8;2235,6;2,07;4,0;3,0;4,0;1,0;650,0;0,897;262,3842;32,0
2845;18;107652;Basler ace;acA1440-220um;ace U;Global;Mono;"1/2.9""";1440;1080;3,45;3,45;IMX273;Box;USB 3.0;227;227;C-Mount;399;74;2000036382,0;"Evetar Lens M118B029528IR F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;51,0;450,0;2484,0;1863,0;1,725;4,0;3,0;4,0;1,0;780,0;0,897;262,3842;32,0
2846;18;107652;Basler ace;acA1440-220um;ace U;Global;Mono;"1/2.9""";1440;1080;3,45;3,45;IMX273;Box;USB 3.0;227;227;C-Mount;399;75;2000036383,0;"Evetar Lens M118B029528W F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;53,0;452,0;2484,0;1863,0;1,725;4,0;3,0;4,0;1,0;780,0;0,897;262,3842;32,0
2999;19;107653;Basler ace;acA1440-220uc;ace U;Global;Color;"1/2.9""";1440;1080;3,45;3,45;IMX273;Box;USB 3.0;227;227;C-Mount;419;74;2000036382,0;"Evetar Lens M118B029528IR F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;51,0;470,0;2484,0;1863,0;1,725;4,0;3,0;4,0;1,0;780,0;0,897;262,3842;32,0
3000;19;107653;Basler ace;acA1440-220uc;ace U;Global;Color;"1/2.9""";1440;1080;3,45;3,45;IMX273;Box;USB 3.0;227;227;C-Mount;419;75;2000036383,0;"Evetar Lens M118B029528W F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;53,0;472,0;2484,0;1863,0;1,725;4,0;3,0;4,0;1,0;780,0;0,897;262,3842;32,0
3311;21;108729;Basler dart;daA1440-220um (S-Mount);;Global;Mono;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;USB 3.0;227;227;S-Mount;229;78;2000036384,0;"Evetar Lens M118B0418IR F1.8 f4mm 1/1.8""";4,0;S-mount;"1/1,8""";200,0;32,0;261,0;1863,0;1397,25;1,2938;4,0;1,0;4,0;3,0;1040,0;0,897;262,3842;32,0
3465;22;108730;Basler dart;daA1440-220um (CS-Mount);;Global;Mono;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;USB 3.0;227;227;CS-Mount;229;78;2000036384,0;"Evetar Lens M118B0418IR F1.8 f4mm 1/1.8""";4,0;S-mount;"1/1,8""";200,0;32,0;261,0;1863,0;1397,25;1,2938;4,0;1,0;4,0;3,0;1040,0;0,897;262,3842;32,0
3773;24;108732;Basler dart;daA1440-220uc (S-Mount);;Global;Color;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;USB 3.0;227;227;S-Mount;229;78;2000036384,0;"Evetar Lens M118B0418IR F1.8 f4mm 1/1.8""";4,0;S-mount;"1/1,8""";200,0;32,0;261,0;1863,0;1397,25;1,2938;4,0;1,0;4,0;3,0;1040,0;0,897;262,3842;32,0
3927;25;108733;Basler dart;daA1440-220uc (CS-Mount);;Global;Color;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;USB 3.0;227;227;CS-Mount;229;78;2000036384,0;"Evetar Lens M118B0418IR F1.8 f4mm 1/1.8""";4,0;S-mount;"1/1,8""";200,0;32,0;261,0;1863,0;1397,25;1,2938;4,0;1,0;4,0;3,0;1040,0;0,897;262,3842;32,0
3312;21;108729;Basler dart;daA1440-220um (S-Mount);;Global;Mono;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;USB 3.0;227;227;S-Mount;229;79;2000036385,0;"Evetar Lens M118B0418W F1.8 f4mm 1/1.8""";4,0;S-mount;"1/1,8""";200,0;33,0;262,0;1863,0;1397,25;1,2938;4,0;1,0;4,0;3,0;1040,0;0,897;262,3842;32,0
3313;21;108729;Basler dart;daA1440-220um (S-Mount);;Global;Mono;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;USB 3.0;227;227;S-Mount;229;80;2200001058,0;"Evetar Lens E3360A F2.0 f4.0mm 1/1.8""";4,0;S-mount;"1/1,8""";300,0;33,0;262,0;1863,0;1397,25;1,2938;4,0;1,0;4,0;3,0;1040,0;0,897;262,3842;32,0
3314;21;108729;Basler dart;daA1440-220um (S-Mount);;Global;Mono;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;USB 3.0;227;227;S-Mount;229;81;2200000589,0;"Evetar Lens E3360D IR-Cut F2.0 f4mm 1/1.8""";4,0;S-mount;"1/1,8""";300,0;33,0;262,0;1863,0;1397,25;1,2938;4,0;1,0;4,0;3,0;1040,0;0,897;262,3842;32,0
3466;22;108730;Basler dart;daA1440-220um (CS-Mount);;Global;Mono;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;USB 3.0;227;227;CS-Mount;229;79;2000036385,0;"Evetar Lens M118B0418W F1.8 f4mm 1/1.8""";4,0;S-mount;"1/1,8""";200,0;33,0;262,0;1863,0;1397,25;1,2938;4,0;1,0;4,0;3,0;1040,0;0,897;262,3842;32,0
3467;22;108730;Basler dart;daA1440-220um (CS-Mount);;Global;Mono;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;USB 3.0;227;227;CS-Mount;229;80;2200001058,0;"Evetar Lens E3360A F2.0 f4.0mm 1/1.8""";4,0;S-mount;"1/1,8""";300,0;33,0;262,0;1863,0;1397,25;1,2938;4,0;1,0;4,0;3,0;1040,0;0,897;262,3842;32,0
3468;22;108730;Basler dart;daA1440-220um (CS-Mount);;Global;Mono;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;USB 3.0;227;227;CS-Mount;229;81;2200000589,0;"Evetar Lens E3360D IR-Cut F2.0 f4mm 1/1.8""";4,0;S-mount;"1/1,8""";300,0;33,0;262,0;1863,0;1397,25;1,2938;4,0;1,0;4,0;3,0;1040,0;0,897;262,3842;32,0
3774;24;108732;Basler dart;daA1440-220uc (S-Mount);;Global;Color;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;USB 3.0;227;227;S-Mount;229;79;2000036385,0;"Evetar Lens M118B0418W F1.8 f4mm 1/1.8""";4,0;S-mount;"1/1,8""";200,0;33,0;262,0;1863,0;1397,25;1,2938;4,0;1,0;4,0;3,0;1040,0;0,897;262,3842;32,0
3775;24;108732;Basler dart;daA1440-220uc (S-Mount);;Global;Color;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;USB 3.0;227;227;S-Mount;229;80;2200001058,0;"Evetar Lens E3360A F2.0 f4.0mm 1/1.8""";4,0;S-mount;"1/1,8""";300,0;33,0;262,0;1863,0;1397,25;1,2938;4,0;1,0;4,0;3,0;1040,0;0,897;262,3842;32,0
3776;24;108732;Basler dart;daA1440-220uc (S-Mount);;Global;Color;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;USB 3.0;227;227;S-Mount;229;81;2200000589,0;"Evetar Lens E3360D IR-Cut F2.0 f4mm 1/1.8""";4,0;S-mount;"1/1,8""";300,0;33,0;262,0;1863,0;1397,25;1,2938;4,0;1,0;4,0;3,0;1040,0;0,897;262,3842;32,0
3928;25;108733;Basler dart;daA1440-220uc (CS-Mount);;Global;Color;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;USB 3.0;227;227;CS-Mount;229;79;2000036385,0;"Evetar Lens M118B0418W F1.8 f4mm 1/1.8""";4,0;S-mount;"1/1,8""";200,0;33,0;262,0;1863,0;1397,25;1,2938;4,0;1,0;4,0;3,0;1040,0;0,897;262,3842;32,0
3929;25;108733;Basler dart;daA1440-220uc (CS-Mount);;Global;Color;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;USB 3.0;227;227;CS-Mount;229;80;2200001058,0;"Evetar Lens E3360A F2.0 f4.0mm 1/1.8""";4,0;S-mount;"1/1,8""";300,0;33,0;262,0;1863,0;1397,25;1,2938;4,0;1,0;4,0;3,0;1040,0;0,897;262,3842;32,0
3930;25;108733;Basler dart;daA1440-220uc (CS-Mount);;Global;Color;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;USB 3.0;227;227;CS-Mount;229;81;2200000589,0;"Evetar Lens E3360D IR-Cut F2.0 f4mm 1/1.8""";4,0;S-mount;"1/1,8""";300,0;33,0;262,0;1863,0;1397,25;1,2938;4,0;1,0;4,0;3,0;1040,0;0,897;262,3842;32,0
7151;46;109476;Basler ace 2;a2A2048-114umPRO​;ace 2 R Pro;Global;Mono;1/3.1'';2048;1536;2,25;2,25;IMX900;Box;USB 3.0;114;114;C-Mount;459;68;2000036060,0;"Evetar Lens M13B02118IR F1.8 f2.1mm 1/3""";2,1;S-mount;"1/3""";100,0;27,0;486,0;3291,4286;2468,5714;1,6071;0,0;4,0;4,0;1,0;600,0;0,6429;133,1583;31,0
7152;46;109476;Basler ace 2;a2A2048-114umPRO​;ace 2 R Pro;Global;Mono;1/3.1'';2048;1536;2,25;2,25;IMX900;Box;USB 3.0;114;114;C-Mount;459;69;2000036061,0;"Evetar Lens M13B02118W F1.8 f2.1mm 1/3""";2,1;S-mount;"1/3""";100,0;28,0;487,0;3291,4286;2468,5714;1,6071;0,0;4,0;4,0;1,0;600,0;0,6429;133,1583;31,0
7305;47;109477;Basler ace 2;a2A2048-114ucPRO​;ace 2 R Pro;Global;Color;1/3.1'';2048;1536;2,25;2,25;IMX900;Box;USB 3.0;114;114;C-Mount;479;68;2000036060,0;"Evetar Lens M13B02118IR F1.8 f2.1mm 1/3""";2,1;S-mount;"1/3""";100,0;27,0;506,0;3291,4286;2468,5714;1,6071;0,0;4,0;4,0;1,0;600,0;0,6429;133,1583;31,0
7306;47;109477;Basler ace 2;a2A2048-114ucPRO​;ace 2 R Pro;Global;Color;1/3.1'';2048;1536;2,25;2,25;IMX900;Box;USB 3.0;114;114;C-Mount;479;69;2000036061,0;"Evetar Lens M13B02118W F1.8 f2.1mm 1/3""";2,1;S-mount;"1/3""";100,0;28,0;507,0;3291,4286;2468,5714;1,6071;0,0;4,0;4,0;1,0;600,0;0,6429;133,1583;31,0
1147;7;107654;Basler ace;acA720-520um;ace U;Global;Mono;"1/2.9""";720;540;6,9;6,9;IMX287;Box;USB 3.0;525;525;C-Mount;369;70;2200001056,0;"Evetar Lens E3417A F2.4 f2.5mm 1/1.8""";2,5;S-mount;"1/1,8""";300,0;33,0;402,0;2980,8;2235,6;4,14;4,0;3,0;3,0;2,0;650,0;1,794;606,8358;31,0
1148;7;107654;Basler ace;acA720-520um;ace U;Global;Mono;"1/2.9""";720;540;6,9;6,9;IMX287;Box;USB 3.0;525;525;C-Mount;369;71;2200001057,0;"Evetar Lens E3417C IR-Cut F2.4 f2.5mm 1/1.8""";2,5;S-mount;"1/1,8""";300,0;33,0;402,0;2980,8;2235,6;4,14;4,0;3,0;3,0;2,0;650,0;1,794;606,8358;31,0
4689;30;107650;Basler ace;acA720-290gm;ace U;Global;Mono;"1/2.9""";720;540;6,9;6,9;IMX287;Box;GigE;291;291;C-Mount;369;70;2200001056,0;"Evetar Lens E3417A F2.4 f2.5mm 1/1.8""";2,5;S-mount;"1/1,8""";300,0;33,0;402,0;2980,8;2235,6;4,14;4,0;3,0;3,0;2,0;650,0;1,794;336,3604;31,0
4690;30;107650;Basler ace;acA720-290gm;ace U;Global;Mono;"1/2.9""";720;540;6,9;6,9;IMX287;Box;GigE;291;291;C-Mount;369;71;2200001057,0;"Evetar Lens E3417C IR-Cut F2.4 f2.5mm 1/1.8""";2,5;S-mount;"1/1,8""";300,0;33,0;402,0;2980,8;2235,6;4,14;4,0;3,0;3,0;2,0;650,0;1,794;336,3604;31,0
2533;16;106752;Basler ace;acA1300-200um;ace U;Global;Mono;"1/2""";1280;1024;4,8;4,8;PYTHON 1300;Box;USB 3.0;203;203;C-Mount;449;70;2200001056,0;"Evetar Lens E3417A F2.4 f2.5mm 1/1.8""";2,5;S-mount;"1/1,8""";300,0;33,0;482,0;3686,4;2949,12;2,88;4,0;4,0;3,0;1,0;600,0;1,152;258,0188;31,0
2534;16;106752;Basler ace;acA1300-200um;ace U;Global;Mono;"1/2""";1280;1024;4,8;4,8;PYTHON 1300;Box;USB 3.0;203;203;C-Mount;449;71;2200001057,0;"Evetar Lens E3417C IR-Cut F2.4 f2.5mm 1/1.8""";2,5;S-mount;"1/1,8""";300,0;33,0;482,0;3686,4;2949,12;2,88;4,0;4,0;3,0;1,0;600,0;1,152;258,0188;31,0
6847;44;109474;Basler ace 2;a2A2048-114umBAS​;ace 2 R Basic;Global;Mono;1/3.1'';2048;1536;2,25;2,25;IMX900;Box;USB 3.0;114;114;C-Mount;349;72;2000035611,0;"Evetar Lens M13B02820IR F2.0 f2.8mm 1/3""";2,8;S-mount;"1/3""";100,0;15,0;364,0;2468,5714;1851,4286;1,2054;0,0;3,0;4,0;2,0;780,0;0,6268;131,3111;31,0
6848;44;109474;Basler ace 2;a2A2048-114umBAS​;ace 2 R Basic;Global;Mono;1/3.1'';2048;1536;2,25;2,25;IMX900;Box;USB 3.0;114;114;C-Mount;349;73;2000035612,0;"Evetar Lens M13B02820W F2.0 f2.8mm 1/3""";2,8;S-mount;"1/3""";100,0;16,0;365,0;2468,5714;1851,4286;1,2054;0,0;3,0;4,0;2,0;780,0;0,6268;131,3111;31,0
7001;45;109475;Basler ace 2;a2A2048-114ucBAS​;ace 2 R Basic;Global;Color;1/3.1'';2048;1536;2,25;2,25;IMX900;Box;USB 3.0;114;114;C-Mount;369;72;2000035611,0;"Evetar Lens M13B02820IR F2.0 f2.8mm 1/3""";2,8;S-mount;"1/3""";100,0;15,0;384,0;2468,5714;1851,4286;1,2054;0,0;3,0;4,0;2,0;780,0;0,6268;131,3111;31,0
7002;45;109475;Basler ace 2;a2A2048-114ucBAS​;ace 2 R Basic;Global;Color;1/3.1'';2048;1536;2,25;2,25;IMX900;Box;USB 3.0;114;114;C-Mount;369;73;2000035612,0;"Evetar Lens M13B02820W F2.0 f2.8mm 1/3""";2,8;S-mount;"1/3""";100,0;16,0;385,0;2468,5714;1851,4286;1,2054;0,0;3,0;4,0;2,0;780,0;0,6268;131,3111;31,0
2537;16;106752;Basler ace;acA1300-200um;ace U;Global;Mono;"1/2""";1280;1024;4,8;4,8;PYTHON 1300;Box;USB 3.0;203;203;C-Mount;449;74;2000036382,0;"Evetar Lens M118B029528IR F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;51,0;500,0;3072,0;2457,6;2,4;4,0;4,0;3,0;1,0;630,0;1,008;242,6786;31,0
2538;16;106752;Basler ace;acA1300-200um;ace U;Global;Mono;"1/2""";1280;1024;4,8;4,8;PYTHON 1300;Box;USB 3.0;203;203;C-Mount;449;75;2000036383,0;"Evetar Lens M118B029528W F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;53,0;502,0;3072,0;2457,6;2,4;4,0;4,0;3,0;1,0;630,0;1,008;242,6786;31,0
8543;55;107962;Basler ace 2;a2A1920-160ucPRO;ace 2 R Pro;Global;Color;"1/2.3""";1920;1200;3,45;3,45;IMX392;Box;USB 3.0;160;160;C-Mount;469;74;2000036382,0;"Evetar Lens M118B029528IR F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;51,0;520,0;3312,0;2070,0;1,725;2,0;4,0;4,0;0,0;600,0;0,69;167,4203;30,0
8544;55;107962;Basler ace 2;a2A1920-160ucPRO;ace 2 R Pro;Global;Color;"1/2.3""";1920;1200;3,45;3,45;IMX392;Box;USB 3.0;160;160;C-Mount;469;75;2000036383,0;"Evetar Lens M118B029528W F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;53,0;522,0;3312,0;2070,0;1,725;2,0;4,0;4,0;0,0;600,0;0,69;167,4203;30,0
8393;54;107961;Basler ace 2;a2A1920-160umPRO;ace 2 R Pro;Global;Mono;"1/2.3""";1920;1200;3,45;3,45;IMX392;Box;USB 3.0;160;160;C-Mount;449;78;2000036384,0;"Evetar Lens M118B0418IR F1.8 f4mm 1/1.8""";4,0;S-mount;"1/1,8""";200,0;32,0;481,0;2484,0;1552,5;1,2938;2,0;3,0;4,0;1,0;780,0;0,6727;164,3285;30,0
8394;54;107961;Basler ace 2;a2A1920-160umPRO;ace 2 R Pro;Global;Mono;"1/2.3""";1920;1200;3,45;3,45;IMX392;Box;USB 3.0;160;160;C-Mount;449;79;2000036385,0;"Evetar Lens M118B0418W F1.8 f4mm 1/1.8""";4,0;S-mount;"1/1,8""";200,0;33,0;482,0;2484,0;1552,5;1,2938;2,0;3,0;4,0;1,0;780,0;0,6727;164,3285;30,0
