;Unnamed: 0_cam;ordernumber_cam;series_name;model_name_cam;product_line;shutter;monocolor;sensor_optical_size;resolution_horizontal;resolution_vertical;pixel_size_horizontal;pixel_size_vertical;sensor_name;housing_name;interface;sensor_framerate_min;sensor_framerate_max;mount_cam;price_cam;Unnamed: 0_lens;ordernumber_lens;model_name_lens;focal_length;mount_lens;sensor_format;min_object_distance;price_lens;total_price;max_fov_h;max_fov_v;resolution_mm;fps_score;d_score;res_score;price_score;best_d;best_res;best_fps;score
3308;21;108729;Basler dart;daA1440-220um (S-Mount);;Global;Mono;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;USB 3.0;227;227;S-Mount;229;75;2000036383,0;"Evetar Lens M118B029528W F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;53,0;282,0;2484,0;1863,0;1,725;4,0;3,0;4,0;3,0;780,0;0,897;262,3842;38,0
3462;22;108730;Basler dart;daA1440-220um (CS-Mount);;Global;Mono;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;USB 3.0;227;227;CS-Mount;229;75;2000036383,0;"Evetar Lens M118B029528W F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;53,0;282,0;2484,0;1863,0;1,725;4,0;3,0;4,0;3,0;780,0;0,897;262,3842;38,0
3770;24;108732;Basler dart;daA1440-220uc (S-Mount);;Global;Color;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;USB 3.0;227;227;S-Mount;229;75;2000036383,0;"Evetar Lens M118B029528W F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;53,0;282,0;2484,0;1863,0;1,725;4,0;3,0;4,0;3,0;780,0;0,897;262,3842;38,0
3924;25;108733;Basler dart;daA1440-220uc (CS-Mount);;Global;Color;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;USB 3.0;227;227;CS-Mount;229;75;2000036383,0;"Evetar Lens M118B029528W F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;53,0;282,0;2484,0;1863,0;1,725;4,0;3,0;4,0;3,0;780,0;0,897;262,3842;38,0
8077;52;107820;Basler ace 2;a2A1920-160umBAS;ace 2 R Basic;Global;Mono;"1/2.3""";1920;1200;3,45;3,45;IMX392;Box;USB 3.0;160;160;C-Mount;339;70;2200001056,0;"Evetar Lens E3417A F2.4 f2.5mm 1/1.8""";2,5;S-mount;"1/1,8""";300,0;33,0;372,0;3974,4;2484,0;2,07;3,0;4,0;4,0;2,0;600,0;0,828;187,5169;37,0
8078;52;107820;Basler ace 2;a2A1920-160umBAS;ace 2 R Basic;Global;Mono;"1/2.3""";1920;1200;3,45;3,45;IMX392;Box;USB 3.0;160;160;C-Mount;339;71;2200001057,0;"Evetar Lens E3417C IR-Cut F2.4 f2.5mm 1/1.8""";2,5;S-mount;"1/1,8""";300,0;33,0;372,0;3974,4;2484,0;2,07;3,0;4,0;4,0;2,0;600,0;0,828;187,5169;37,0
8231;53;107821;Basler ace 2;a2A1920-160ucBAS;ace 2 R Basic;Global;Color;"1/2.3""";1920;1200;3,45;3,45;IMX392;Box;USB 3.0;160;160;C-Mount;359;70;2200001056,0;"Evetar Lens E3417A F2.4 f2.5mm 1/1.8""";2,5;S-mount;"1/1,8""";300,0;33,0;392,0;3974,4;2484,0;2,07;3,0;4,0;4,0;2,0;600,0;0,828;187,5169;37,0
8232;53;107821;Basler ace 2;a2A1920-160ucBAS;ace 2 R Basic;Global;Color;"1/2.3""";1920;1200;3,45;3,45;IMX392;Box;USB 3.0;160;160;C-Mount;359;71;2200001057,0;"Evetar Lens E3417C IR-Cut F2.4 f2.5mm 1/1.8""";2,5;S-mount;"1/1,8""";300,0;33,0;392,0;3974,4;2484,0;2,07;3,0;4,0;4,0;2,0;600,0;0,828;187,5169;37,0
8081;52;107820;Basler ace 2;a2A1920-160umBAS;ace 2 R Basic;Global;Mono;"1/2.3""";1920;1200;3,45;3,45;IMX392;Box;USB 3.0;160;160;C-Mount;339;74;2000036382,0;"Evetar Lens M118B029528IR F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;51,0;390,0;3312,0;2070,0;1,725;2,0;4,0;4,0;2,0;600,0;0,69;167,4203;36,0
8082;52;107820;Basler ace 2;a2A1920-160umBAS;ace 2 R Basic;Global;Mono;"1/2.3""";1920;1200;3,45;3,45;IMX392;Box;USB 3.0;160;160;C-Mount;339;75;2000036383,0;"Evetar Lens M118B029528W F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;53,0;392,0;3312,0;2070,0;1,725;2,0;4,0;4,0;2,0;600,0;0,69;167,4203;36,0
