;ordernumber;model_name;focal_length;mount;sensor_format;min_object_distance;price
140;2200001823;Schneider Lens SAPPHIRE 0.05/0.5x V70;96.2 mm;V70-mount;62,5 mm;;3456,0
141;2200001824;Schneider Lens SAPPHIRE 0.06/0.7x V70;97 mm;V70-mount;62,5 mm;;3456,0
142;2200001829;Schneider Lens SAPPHIRE XL 0.09/1.43x V70;97 mm;V70-mount;62,5 mm;;3618,0
143;2200001825;Schneider Lens SAPPHIRE 0.08/0.875x V70;97.5 mm;V70-mount;62,5 mm;;3456,0
144;2200001826;Schneider Lens SAPPHIRE 0.09/1.143x V70;97.5 mm;V70-mount;62,5 mm;;3618,0
145;2200001849;Schneider Lens PYRITE 5.6/100 V38;100 mm;V38-mount;100 mm;283,0;610,0
146;2200001910;Schneider Lens ZIRCONIA XL 0.03/0.33x V48;104 mm;V48-mount;82 mm;334,0;2194,0
147;2200001913;Schneider Lens ZIRCONIA 0.05/0.5x V48;104 mm;V48-mount;82 mm;383,0;1958,0
148;2200001850;Schneider Lens PYRITE 5.6/120/0.33x V38;120 mm;V38-mount;90 mm;409,0;952,0
149;2200001851;Schneider Lens PYRITE 5.6/120/0.5x V38;120 mm;V38-mount;90 mm;269,0;952,0
150;2200001852;Schneider Lens PYRITE 5.6/120/0.75x V38;120 mm;V38-mount;90 mm;228,0;952,0
151;2200001853;Schneider Lens PYRITE 5.6/120/1.0x V38;120 mm;V38-mount;90 mm;198,0;952,0
152;2200000960;VST Lens VS-HX3535 F3.5 f35mm Super 35;35 mm;F-mount;super 35 mm;330,4;1709,0
153;2200000961;VST Lens VS-HX5035 F3.5 f50mm Super 35;50 mm;F-mount;super 35 mm;488,8;1309,0
154;2200000962;VST Lens VS-HX7535 F3.5 f75mm Super 35;75 mm;F-mount;super 35 mm;724,7;1529,0
